imagem,descricao,valor
https://images.vitrinebradesco.com.br/milan_leiloes/341807/1742929367468,"Data do leilão: 23/04/2025 | São Paulo – Sp. Bairro Pq Nações Unidas. Rua Ciriaco Jimenez, N°336, (lt 26-b Da Qd 15). Casa. Áreas Totais. Terr. 129,05m² E Constr. 105,50m². Matr. 194.651 Do 18°ri Local. Obs: Odos Os Eventuais Débitos Que Recaiam Sobre O Imóvel, Vencidos Ou A Vencer, Independente Da Data Do Fato Gerador, Deverão Ser Apurados E Pagos Pelo Arrematante, Sem Direito A Reembolso. Caberá Ao Arrematante Providenciar, Às Suas Expensas, Toda E Qualquer Regularização Física E Documental Do Imóvel Perante Os Órgãos Competentes, Quando For O Caso, Tais Como, Mas Não Se Limitando A, Prefeitura E Oficial De Registro De Imóveis, Independentemente Da Data Da Sua Constituição, Incluindo - Mas Não Se Limitando A - Regularização De Cadastro De Contribuinte Perante A Prefeitura, Regularização De Numeração Do Prédio E/ou Do Logradouro, Averbações De Demolição/construção, Unificações, Desmembramentos, Ajustes De Áreas Totais, Respondendo Por Quaisquer Ônus, Providências E Eventuais Outros Tributos Cobrados Retroativamente Pela Municipalidade. O Arrematante, Além Do Valor Da Arrematação Do Imóvel Que Deverá Ser Pago Ao Vendedor, Deverá Pagar Adicionalmente Ao Leiloeiro Em Até 05 Dias Uteis Após A Aprovação Da Venda Do Imóvel: Os Custos Abaixo: Comissão De 5% (cinco Por Cento) Sobre O Valor Da Arrematação; Custos Administrativos De 6% A 8% Sobre O Valor Da Arrematação, Referente Ao Adiantamento Das Despesas Obrigatórias Referentes À Transferência De Titularidade Do Imóvel Arrematado, Tais Como Imposto De Transmissão (itbi), Outorga De Escritura Pública, Taxas E Emolumentos Cartorários E Registro. O Valor Dos Custos Administrativos Será Informado Ao Arrematante Com Base No Cálculo Sobre O Maior Valor (considerando O Valor De Arrematação Ou O Valor Venal De Referência). Adicionalmente, Será Cobrado Um Custo Fixo De R$ 1.000,00, Referente Aos Honorários Pelos Serviços De Assessoria Para A Transferência Da Propriedade Do Imóvel. Regularização Dos Débitos De Iptu No Valor Aprox. De R$ 1.000,00, Serão De Inteira E Exclusiva Responsabilidade Do Comprador, Independentemente Da Data Dos Seus Fatos Geradores, Ainda Que Lançados E/ou Cobrados Em Nome Do Vendedor Ou De Terceiros, Sem Direito A Reembolso. Ocupado. (af).",Parceiro: Milan Leilões
https://images.vitrinebradesco.com.br/mega_leiloes/343330/1743498141153,"Data do leilão: 23/04/2025 | São Paulo-SP. Bairro Jardim São Luiz. Rua João Meimberg, Nº 544 - Parte Dos Lts. 12 E 13 Da Qd. 63. Casa. Áreas Totais: Terr. 277,00m² E Constr. 187,02m². Matr. 60.154 Do 11º Ri Local. Obs.: (i) Regularização E Encargos Perante Os Órgãos Competentes De Eventual Divergência Da Área Construída Que Vier A Ser Apurada No Local, Com A Averbada Na Matrícula E Lançada No Cadastro Municipal, Correrão Por Conta Do Comprador; (ii) Débitos De Iptu De Aprox. R$ 15.000,00, Deverão Ser Apurados E Pagos Pelo Arrematante, Sem Direito A Reembolso; (iii) Caberá Ao Arrematante Providenciar, Às Suas Expensas, Toda E Qualquer Regularização Física E Documental Do Imóvel Perante Os Órgãos Competentes, Quando For O Caso, Tais Como, Mas Não Se Limitando A, Prefeitura E Oficial De Registro De Imóveis, Independentemente Da Data Da Sua Constituição, Incluindo - Mas Não Se Limitando A - Regularização De Cadastro De Contribuinte Perante A Prefeitura, Regularização De Numeração Do Prédio E/ou Do Logradouro, Averbações De Demolição/construção, Unificações, Desmembramentos, Ajustes De Áreas Totais, Respondendo Por Quaisquer Ônus, Providências E Eventuais Outros Tributos Cobrados Retroativamente Pela Municipalidade. O Arrematante, Além Do Valor Da Arrematação Do Imóvel Que Deverá Ser Pago Ao Vendedor, Deverá Pagar Adicionalmente Ao Leiloeiro Em Até 05 Dias Uteis Após A Aprovação Da Venda Do Imóvel: Os Custos Abaixo: Comissão De 5% (cinco Por Cento) Sobre O Valor Da Arrematação; Custos Administrativos De 6% A 8% Sobre O Valor Da Arrematação, Referente Ao Adiantamento Das Despesas Obrigatórias Referentes À Transferência De Titularidade Do Imóvel Arrematado, Tais Como Imposto De Transmissão (itbi), Outorga De Escritura Pública, Taxas E Emolumentos Cartorários E Registro. O Valor Dos Custos Administrativos Será Informado Ao Arrematante Com Base No Cálculo Sobre O Maior Valor (considerando O Valor De Arrematação Ou O Valor Venal De Referência). Adicionalmente, Será Cobrado Um Custo Fixo De R$ 1.000,00, Referente Aos Honorários Pelos Serviços De Assessoria Para A Transferência Da Propriedade Do Imóvel; (iv) Ocupado (af).",Parceiro: Mega Leilões
https://images.vitrinebradesco.com.br/pestana_leiloes/344011/1743618725156,"Data do leilão: 24/04/2025 | Rua Dr. Almeida Lima, 891 - Apto. 112 Ed. Sol Da Itália, 11º Andar Do Bloco C - Mocca. Área Privativa: 61,00m². Matrícula: 150.991. Obs.: Constituição De Condomínio Pendente De Averbação No Ri. Regularizações E Encargos Perante Os Órgãos Competentes, Correrão Por Conta Do(a) Comprador(a). Ocupado. (af). Ação Judicial: Vide Edital.",Parceiro: Pestana Leilões
https://images.vitrinebradesco.com.br/mega_leiloes/344017/1743620506374,"Data do leilão: 24/04/2025 | São Paulo-SP. Bairro Vila Carrão (vila Nova Manchester). Rua Nunes Balboa, Nº 480/482. Apto. 26 No 4º Pavimento Do Condomínio Residencial Nunes Balboa. Apartamento. Área Construída Privativa 30,89m². Matr. 326.554 Do 9º Ri Local. Obs.: (i) Ocupado (af).",Parceiro: Mega Leilões
https://images.vitrinebradesco.com.br/zukerman_leiloes/346406/1744880795408,"Data do leilão: 28/04/2025 | Rua Pardinho, N° 81. Casa. Áreas Totais: Terreno: 84,00m² E Construída Estimada: 168,00m² (consta No Ri 122,00m²). Matr. 52.740 Do 11°ri Local. Caberá Ao Arrematante, Providenciar Às Suas Expensas, Toda E Qualquer Regularização Física E Documental Do Imóvel, Perante Os Órgãos Competentes, Quando For O Caso, Tais Como, Prefeitura E Oficial De Registro De Imóveis, Independentemente Da Data Da Sua Constituição, Tais Como Regularização De Cadastro De Contribuinte Perante A Prefeitura, Regularização De Numeração Do Prédio E/ou Do Logradouro, Averbações De Demolição/construção, Unificações, Desmembramentos, Áreas Totais, Respondendo Por Quaisquer Ônus, Providências E Eventuais Tributos Cobrados Retroativamente Pela Municipalidade. Ocupado. (af).",Parceiro: ZUK
https://images.vitrinebradesco.com.br/zukerman_leiloes/345305/1744276000881,"Data do leilão: 28/04/2025 | Rua Tacacazeiro, Nº 283. Casa N° 03, Condomínio Residencial Tacacazeiro. Áreas Totais: Privativa: 67,83m², E Total: 163,316m². Matr. 173.488 Do 16° Ri Local. Caberá Ao Arrematante, Providenciar Às Suas Expensas, Toda E Qualquer Regularização Física E Documental Do Imóvel, Perante Os Órgãos Competentes, Quando For O Caso, Tais Como, Prefeitura E Oficial De Registro De Imóveis, Independentemente Da Data Da Sua Constituição, Tais Como Regularização De Cadastro De Contribuinte Perante A Prefeitura, Regularização De Numeração Do Prédio E/ou Do Logradouro, Averbações De Demolição/construção, Unificações, Desmembramentos, Áreas Totais, Respondendo Por Quaisquer Ônus, Providências E Eventuais Tributos Cobrados Retroativamente Pela Municipalidade. Ocupado. (af). Consta Ação Anulatória, Processo Nº 1005008-49.2025.8.26.0006 Em Trâmite Na 3ª Vara Cível Foro Regional Vi - Penha De França De São Paulo - Sp, O Vendedor Responde Pelo Resultado Da Ação, De Acordo Com Os Critérios E Limites Estabelecidos Nas ""condições De Venda Dos Imóveis"" Constantes Do Edital.",Parceiro: ZUK
https://images.vitrinebradesco.com.br/mega_leiloes/343287/1743498064871,"Data do leilão: 28/04/2025 | São Paulo-SP. Bairro Cidade Patriarca. Rua Lavras, Nº 30 - Parte Do Lt. 07 Da Qd. 20. Casa. Áreas Totais: Terr. 220,12m² E Constr. Estimada No Local 278,00m². Matr. 36.357 Do 16º Ri Local. Obs.: (i) Regularização E Encargos Perante Os Órgãos Competentes De Eventual Divergência Da Área Construída Que Vier A Ser Apurada No Local, Com A Averbada Na Matrícula E Lançada No Cadastro Municipal, Correrão Por Conta Do Comprador; (ii) Ocupada (af).",Parceiro: Mega Leilões
https://images.vitrinebradesco.com.br/pestana_leiloes/345291/1744228978394,"Data do leilão: 29/04/2025 | Rua Soldado Teodoro Francisco Ribeiro, 181 - Ap 26 (2º And, T 2) C/ 01 Vg De Gar. Ed Lake - Cond Weekend - Vila Maria. Área Privativa: 55,00m². Matrícula: 59.330. Obs.: Regularizações E Encargos Perante Os Órgãos Competentes, Inclusive Quanto A Eventual Necessidade De Constituição De Condomínio, Correrão Por Conta Do(a) Comprador(a). O Comprador Providenciará A Baixa Da Penhora Constante Na Av. 12 Da Citada Matrícula. O(a) Vendedor(a) Tomou Conhecimento Da(s) Seguinte(s) Ação(ões) Judicial(is): Ação De Execução De Débitos Condominiais, Processo Nº 1002085-15.2023.8.26.0008, Em Trâmite Na 5ª Vara Cível Do Foro Regional Viii - Tatuapé/sp. Caberá Ao(à) Comprador(a), Querendo, Eventual Substituição Processual, Como Sucessor Ou Assistente Litisconsorcial, Ficando Responsável Pelas Custas Processuais E Honorários Sucumbenciais. Débitos Aproximados De Condomínio De R$ 80.000,00, Por Conta Do Comprador. Ocupado. (af). Ação Judicial: Vide Edital.",Parceiro: Pestana Leilões
https://images.vitrinebradesco.com.br/pestana_leiloes/345296/1744228978312,"Data do leilão: 29/04/2025 | Rua Odorico Mendes, 630 - Apartamento 12 (1º Andar, Torre B). Condomínio Atua Mooca Ii - Mooca. Área De Terreno: 42,05m². Matrícula: 168.499. Obs.: Regularizações E Encargos Perante Os Órgãos Competentes, Correrão Por Conta Do(a) Comprador(a). Possíveis Débitos De Condomínio, Por Conta Do Comprador. Ocupado. (af). Ação Judicial: Vide Edital.",Parceiro: Pestana Leilões
https://images.vitrinebradesco.com.br/pestana_leiloes/345298/1744229000583,"Data do leilão: 29/04/2025 | Rua Margarida, 166 - Apartamento 62 (6º Andar) C/ 1 Vaga De Garagem. Edifício Dona Kátia. - Barra Funda.. Área Privativa: 30,30m². Matrícula: 247.747. Obs.: Constituição De Condomínio Pendente De Averbação No Ri. Regularizações E Encargos Perante Os Órgãos Competentes, Correrão Por Conta Do(a) Comprador(a). Débitos Aproximados De Condomínio De R$ 20.000,00, Por Conta Do Comprador. Ocupado. (af). Ação Judicial: Vide Edital.",Parceiro: Pestana Leilões
